date,equity,cash
2023-08-09,100907.0,100907.0
2023-08-10,100907.0,100907.0
2023-08-11,100907.0,100907.0
2023-08-14,100907.0,100907.0
2023-08-15,100907.0,100907.0
2023-08-16,100907.0,100907.0
2023-08-17,100906.0,86923.0
2023-08-18,100906.0,86923.0
2023-08-21,100906.0,86923.0
2023-08-22,100906.0,86923.0
2023-08-23,100906.0,86923.0
2023-08-24,100906.0,86923.0
2023-08-25,100906.0,86923.0
2023-08-28,100906.0,86923.0
2023-08-29,100906.0,86923.0
2023-08-30,100906.0,86923.0
2023-08-31,100906.0,86923.0
2023-09-01,100906.0,86923.0
2023-09-04,100906.0,86923.0
2023-09-05,101747.0,101747.0
2023-09-06,101747.0,101747.0
2023-09-07,101747.0,101747.0
2023-09-08,101747.0,101747.0
2023-09-11,101747.0,101747.0
2023-09-12,101747.0,101747.0
2023-09-13,101747.0,101747.0
2023-09-14,101747.0,101747.0
2023-09-15,101747.0,101747.0
2023-09-18,101747.0,101747.0
2023-09-19,101747.0,101747.0
2023-09-20,101747.0,101747.0
2023-09-21,101747.0,101747.0
2023-09-22,101747.0,101747.0
2023-09-25,101747.0,101747.0
2023-09-26,101747.0,101747.0
2023-09-27,101747.0,101747.0
2023-09-28,101747.0,101747.0
2023-09-29,101747.0,101747.0
2023-10-02,101747.0,101747.0
2023-10-03,101747.0,101747.0
2023-10-04,101747.0,101747.0
2023-10-05,101747.0,101747.0
2023-10-06,101747.0,101747.0
2023-10-09,101747.0,101747.0
2023-10-10,101747.0,101747.0
2023-10-11,101747.0,101747.0
2023-10-12,101747.0,101747.0
2023-10-13,101747.0,101747.0
2023-10-16,101747.0,101747.0
2023-10-17,101747.0,101747.0
2023-10-18,101747.0,101747.0
2023-10-19,101747.0,101747.0
2023-10-20,101747.0,101747.0
2023-10-23,101747.0,101747.0
2023-10-24,101747.0,101747.0
2023-10-25,101747.0,101747.0
2023-10-26,101747.0,101747.0
2023-10-27,101747.0,101747.0
2023-10-30,101747.0,101747.0
2023-10-31,101747.0,101747.0
2023-11-01,101747.0,101747.0
2023-11-02,101747.0,101747.0
2023-11-03,101747.0,101747.0
2023-11-06,101747.0,101747.0
2023-11-07,101747.0,101747.0
2023-11-08,101747.0,101747.0
2023-11-09,101747.0,101747.0
2023-11-10,101747.0,101747.0
2023-11-13,101747.0,101747.0
2023-11-14,101747.0,101747.0
2023-11-15,101747.0,101747.0
2023-11-16,101747.0,101747.0
2023-11-17,101747.0,101747.0
2023-11-20,101747.0,101747.0
2023-11-21,101747.0,101747.0
2023-11-22,101747.0,101747.0
2023-11-23,101746.0,84799.0
2023-11-24,101746.0,84799.0
2023-11-27,101746.0,84799.0
2023-11-28,101746.0,84799.0
2023-11-29,101581.0,101581.0
2023-11-30,101581.0,101581.0
2023-12-01,101581.0,101581.0
2023-12-04,101581.0,101581.0
2023-12-05,101581.0,101581.0
2023-12-06,101581.0,101581.0
2023-12-07,101581.0,101581.0
2023-12-08,101581.0,101581.0
2023-12-11,101581.0,101581.0
2023-12-12,101581.0,101581.0
2023-12-13,101581.0,101581.0
2023-12-14,101581.0,101581.0
2023-12-15,101581.0,101581.0
2023-12-18,101581.0,101581.0
2023-12-19,101581.0,101581.0
2023-12-20,101581.0,101581.0
2023-12-21,101581.0,101581.0
2023-12-22,101581.0,101581.0
2023-12-25,101581.0,101581.0
2023-12-26,101581.0,101581.0
2023-12-27,101581.0,101581.0
2023-12-28,101581.0,101581.0
2023-12-29,101581.0,101581.0
2024-01-02,101581.0,101581.0
2024-01-03,101581.0,101581.0
2024-01-04,101581.0,101581.0
2024-01-05,101581.0,101581.0
2024-01-08,101581.0,101581.0
2024-01-09,101581.0,101581.0
2024-01-10,101581.0,101581.0
2024-01-11,101581.0,101581.0
2024-01-12,101581.0,101581.0
2024-01-16,101581.0,101581.0
2024-01-17,101581.0,101581.0
2024-01-18,101581.0,101581.0
2024-01-19,101581.0,101581.0
